{'colors': {'line1_color': [330, 320, 340], 'color_threshold': 40, 'max_left_color': '#00FAF0', 'max_left_hsv': [179, 245, 98], 'max_right_color': '#169C00', 'max_right_hsv': [87, 191, 61], 'min_left_color': '#009E57', 'min_left_hsv': [163, 159, 62], 'min_right_color': '#424200', 'min_right_hsv': [60, 126, 26]}, 'contour_threshold': 5000, 'groundWidth': 29, 'pins': {'button': 25, 'distance_sensor': {'ECHO1': 15, 'ECHO2': 22, 'ECHO3': 27, 'TRIG1': 14, 'TRIG2': 4, 'TRIG3': 17}, 'mode': 'BCM', 'motor': {'ENA': 0, 'IN1': 11, 'IN2': 9}, 'servo': {'pcapin': 3}}}
Is Blue: False  R: 507, G: 531, B: 568
Is Blue: False  R: 507, G: 531, B: 568
Is Blue: False  R: 507, G: 531, B: 568
Is Blue: False  R: 507, G: 531, B: 568
Is Blue: False  R: 507, G: 531, B: 568
Is Blue: False  R: 498, G: 520, B: 554
Is Blue: False  R: 498, G: 520, B: 554
Is Blue: False  R: 498, G: 520, B: 554
Is Blue: False  R: 498, G: 520, B: 554
Is Blue: False  R: 491, G: 509, B: 541
Is Blue: False  R: 491, G: 509, B: 541
Is Blue: False  R: 491, G: 509, B: 541
Is Blue: False  R: 491, G: 509, B: 541
Is Blue: False  R: 491, G: 509, B: 541
Is Blue: False  R: 483, G: 495, B: 523
Is Blue: False  R: 483, G: 495, B: 523
Is Blue: False  R: 483, G: 495, B: 523
Is Blue: False  R: 483, G: 495, B: 523
Is Blue: False  R: 483, G: 495, B: 523
Is Blue: False  R: 479, G: 488, B: 513
Is Blue: False  R: 479, G: 488, B: 513
Is Blue: False  R: 479, G: 488, B: 513
Is Blue: False  R: 479, G: 488, B: 513
Is Blue: False  R: 488, G: 499, B: 526
Is Blue: False  R: 488, G: 499, B: 526
Is Blue: False  R: 488, G: 499, B: 526
Is Blue: False  R: 488, G: 499, B: 526
Is Blue: False  R: 488, G: 499, B: 526
Is Blue: False  R: 495, G: 506, B: 533
Is Blue: False  R: 495, G: 506, B: 533
Is Blue: False  R: 495, G: 506, B: 533
Is Blue: False  R: 495, G: 506, B: 533
Is Blue: False  R: 495, G: 506, B: 533
Is Blue: False  R: 496, G: 503, B: 528
Is Blue: False  R: 496, G: 503, B: 528
Is Blue: False  R: 496, G: 503, B: 528
Is Blue: False  R: 496, G: 503, B: 528
Is Blue: False  R: 501, G: 504, B: 527
Is Blue: False  R: 501, G: 504, B: 527
Is Blue: False  R: 501, G: 504, B: 527
Is Blue: False  R: 501, G: 504, B: 527
Is Blue: False  R: 501, G: 504, B: 527
Is Blue: False  R: 506, G: 506, B: 527
Is Blue: False  R: 506, G: 506, B: 527
Is Blue: False  R: 506, G: 506, B: 527
Is Blue: False  R: 506, G: 506, B: 527
Is Blue: False  R: 506, G: 506, B: 523
Is Blue: False  R: 508, G: 504, B: 523
Is Blue: False  R: 508, G: 504, B: 523
Is Blue: False  R: 508, G: 504, B: 523
Is Blue: False  R: 508, G: 504, B: 523
Is Blue: False  R: 509, G: 500, B: 517
Is Blue: False  R: 509, G: 500, B: 517
Is Blue: False  R: 509, G: 500, B: 517
Is Blue: False  R: 509, G: 500, B: 517
Is Blue: False  R: 509, G: 500, B: 517
Is Blue: False  R: 509, G: 498, B: 513
Is Blue: False  R: 509, G: 498, B: 513
Is Blue: False  R: 509, G: 498, B: 513
Is Blue: False  R: 509, G: 498, B: 513
Is Blue: False  R: 511, G: 498, B: 514
Is Blue: False  R: 511, G: 498, B: 514
Is Blue: False  R: 511, G: 498, B: 514
Is Blue: False  R: 511, G: 498, B: 514
Is Blue: False  R: 511, G: 498, B: 514
Is Blue: False  R: 513, G: 500, B: 515
Is Blue: False  R: 513, G: 500, B: 515
Is Blue: False  R: 513, G: 500, B: 515
Is Blue: False  R: 513, G: 500, B: 515
Is Blue: False  R: 513, G: 500, B: 515
Is Blue: False  R: 503, G: 484, B: 496
Is Blue: False  R: 503, G: 484, B: 496
Is Blue: False  R: 503, G: 484, B: 496
Is Blue: False  R: 503, G: 484, B: 496
Is Blue: False  R: 497, G: 475, B: 486
Is Blue: False  R: 497, G: 475, B: 486
Is Blue: False  R: 497, G: 475, B: 486
Is Blue: False  R: 497, G: 475, B: 486
Is Blue: False  R: 497, G: 475, B: 486
Is Blue: False  R: 490, G: 464, B: 473
Is Blue: False  R: 490, G: 464, B: 473
Is Blue: False  R: 490, G: 464, B: 473
Is Blue: False  R: 490, G: 464, B: 473
Is Blue: False  R: 490, G: 464, B: 468
Is Blue: False  R: 486, G: 460, B: 468
Is Blue: False  R: 486, G: 460, B: 468
Is Blue: False  R: 486, G: 460, B: 468
